Season 2 Ranking Wins

12位 : クラト@パーリーピーポー (7648勝58敗, 勝率99.25%)
13位 : 死神 (6155勝31敗, 勝率99.50%)
14位 : サラダ (5928勝44敗, 勝率99.26%)
15位 : drawcinya (4279勝45敗, 勝率98.96%)
16位 : でっていう (2857勝17敗, 勝率99.41%)
17位 : ユウ (2525勝20敗, 勝率99.21%)
18位 : そばゆ (2515勝15敗, 勝率99.41%)
19位 : 冨田トランプ英明@そぱーゆ党 (2087勝19敗, 勝率99.10%)
20位 : ケイスケホンダ (2029勝291398敗, 勝率0.69%)
21位 : ラブオ (1968勝16敗, 勝率99.19%)
22位 : パールネ (1899勝8敗, 勝率99.58%)
23位 : 硬是在前面加幾字Leo (1462勝8敗, 勝率99.46%)
24位 : ソニア (1100勝7敗, 勝率99.37%)
25位 : すきやき (943勝6敗, 勝率99.37%)
26位 : 彧瓈 (813勝3敗, 勝率99.63%)
27位 : 🤓 (723勝5敗, 勝率99.31%)
28位 : くれい(CLAY) (713勝6敗, 勝率99.17%)
29位 : ぴの (701勝7敗, 勝率99.01%)
30位 : ねむい (641勝3敗, 勝率99.53%)
31位 : ひろかず (628勝6敗, 勝率99.05%)
32位 : 雨傘 (465勝2敗, 勝率99.57%)
33位 : にゃん⌒ (452勝5敗, 勝率98.91%)
34位 : RyuNotch/ぜろりゅー (401勝6敗, 勝率98.53%)
35位 : ジェ (369勝2敗, 勝率99.46%)
36位 : るっぺらぴっちょん (361勝2敗, 勝率99.45%)
37位 : 🍉🍉 (346勝2敗, 勝率99.43%)
38位 : アイナック (339勝2敗, 勝率99.41%)
39位 : はす (330勝2敗, 勝率99.40%)
40位 : funi (310勝0敗, 勝率100.00%)
41位 : シュガー♪ (276勝2敗, 勝率99.28%)
42位 : ゼロ (270勝1敗, 勝率99.63%)
43位 : Aqua (259勝0敗, 勝率100.00%)
44位 : もこみち (247勝2敗, 勝率99.20%)
45位 : みけฅ( • ·̫ • ฅ)＠mikeneko10.14 (242勝2敗, 勝率99.18%)
46位 : 通行ネコ（passing Cat） (204勝0敗, 勝率100.00%)
47位 : 貴音_狼耳しか勝たん (157勝1敗, 勝率99.37%)
48位 : Hakusyoku (90勝1敗, 勝率98.90%)
49位 : ノーにゃんこノーライフ (87勝0敗, 勝率100.00%)
50位 : ビルSP6 (53勝0敗, 勝率100.00%)
51位 : 某prprのリア友 sei(せい) (50勝1敗, 勝率98.04%)
52位 : ぼん (46勝0敗, 勝率100.00%)
53位 : !!!カオスタイム!!! (38勝0敗, 勝率100.00%)
54位 : てってー！ (35勝1敗, 勝率97.22%)
55位 : 真田快來 (34勝1敗, 勝率97.14%)
56位 : さとぅ( ᐖ ) (33勝0敗, 勝率100.00%)
57位 : organic_san (30勝0敗, 勝率100.00%)
58位 : ハカメモリー (27勝1敗, 勝率96.43%)
59位 : 三零 (26勝0敗, 勝率100.00%)
60位 : ふーか (22勝0敗, 勝率100.00%)
